"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00069112","3.0","ERS1245395","MGYS00001177","metagenomic",,"ERR1527262",
"MGYA00087177","3.0","ERS1458871","MGYS00001336","metagenomic",,"ERR1743279",
"MGYA00087221","3.0","ERS1458982","MGYS00001336","metagenomic",,"ERR1743390",
"MGYA00087202","3.0","ERS1458981","MGYS00001336","metagenomic",,"ERR1743389",
"MGYA00069110","3.0","ERS1245391","MGYS00001177","metagenomic",,"ERR1527246",
"MGYA00087145","3.0","ERS1458899","MGYS00001336","metagenomic",,"ERR1743307",
"MGYA00087112","3.0","ERS1458933","MGYS00001336","metagenomic",,"ERR1743341",
"MGYA00112377","3.0","ERS1659217","MGYS00001696","metagenomic",,"ERR1923790",
"MGYA00069096","3.0","ERS1245390","MGYS00001177","metagenomic",,"ERR1527240",
"MGYA00085391","3.0","ERS1443743","MGYS00001105","metagenomic",,"ERR1725849",
"MGYA00069102","3.0","ERS1245393","MGYS00001177","metagenomic",,"ERR1527254",
"MGYA00085387","3.0","ERS1443827","MGYS00001105","metagenomic",,"ERR1726434",
"MGYA00069160","3.0","ERS1261401","MGYS00001179","metagenomic",,"ERR1544442",
"MGYA00095526","3.0","SRS1615679","MGYS00001408","metagenomic",,"SRR4029366",
"MGYA00085376","3.0","ERS1443841","MGYS00001105","metagenomic",,"ERR1726990",
"MGYA00087191","3.0","ERS1458950","MGYS00001336","metagenomic",,"ERR1743358",
"MGYA00087143","3.0","ERS1458924","MGYS00001336","metagenomic",,"ERR1743332",
"MGYA00087154","3.0","ERS1458882","MGYS00001336","metagenomic",,"ERR1743290",
"MGYA00123075","3.0","ERS1696837","MGYS00001736","metagenomic",,"ERR1951253",
"MGYA00069119","3.0","ERS1245397","MGYS00001177","metagenomic",,"ERR1527267",
"MGYA00097016","3.0","ERS1532240","MGYS00001443","metagenomic",,"ERR1815064",
"MGYA00087128","3.0","ERS1458914","MGYS00001336","metagenomic",,"ERR1743322",
"MGYA00085375","3.0","ERS1443828","MGYS00001105","metagenomic",,"ERR1726435",
"MGYA00107747","3.0","ERS783980","MGYS00001660","metagenomic",,"ERR952451",
"MGYA00087125","3.0","ERS1458923","MGYS00001336","metagenomic",,"ERR1743331",
"MGYA00087218","3.0","ERS1458874","MGYS00001336","metagenomic",,"ERR1743282",
"MGYA00087201","3.0","ERS1458935","MGYS00001336","metagenomic",,"ERR1743343",
"MGYA00069113","3.0","ERS1245398","MGYS00001177","metagenomic",,"ERR1527271",
"MGYA00087219","3.0","ERS1458972","MGYS00001336","metagenomic",,"ERR1743380",
"MGYA00085393","3.0","ERS1443840","MGYS00001105","metagenomic",,"ERR1726989",
"MGYA00087161","3.0","ERS1458884","MGYS00001336","metagenomic",,"ERR1743292",
"MGYA00069077","3.0","ERS1245397","MGYS00001177","metagenomic",,"ERR1527270",
"MGYA00087179","3.0","ERS1458951","MGYS00001336","metagenomic",,"ERR1743359",
"MGYA00095523","3.0","SRS1593575","MGYS00001405","metagenomic",,"SRR3987482",
