"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00070385","3.0","ERS606357","MGYS00001193","metagenomic",,"ERR675567",
"MGYA00074693","3.0","ERS970196","MGYS00001225","metagenomic",,"ERR1135220",
"MGYA00074586","3.0","ERS970254","MGYS00001225","metagenomic",,"ERR1135278",
"MGYA00074752","3.0","ERS970418","MGYS00001225","metagenomic",,"ERR1135737",
"MGYA00070207","3.0","ERS606461","MGYS00001193","metagenomic",,"ERR675677",
"MGYA00133710","3.0","ERS1847596","MGYS00001912","metagenomic",,"ERR2059943",
"MGYA00074283","3.0","ERS970284","MGYS00001225","metagenomic",,"ERR1135308",
"MGYA00133740","3.0","ERS1847623","MGYS00001912","metagenomic",,"ERR2059970",
"MGYA00074625","3.0","ERS970372","MGYS00001225","metagenomic",,"ERR1135396",
"MGYA00071532","3.0","ERS1338482","MGYS00001214","metagenomic",,"ERR1614722",
"MGYA00128535","3.0","ERS723629","MGYS00001796","metagenomic",,"ERR878252",
"MGYA00122975","3.0","ERS1696257","MGYS00001733","metagenomic",,"ERR1950672",
"MGYA00128575","3.0","ERS723649","MGYS00001796","metagenomic",,"ERR878273",
"MGYA00076573","3.0","ERS1353919","MGYS00001254","metagenomic",,"ERR1654747",
"MGYA00128289","3.0","ERS743114","MGYS00001787","metagenomic",,"ERR906484",
"MGYA00070475","3.0","ERS606463","MGYS00001193","metagenomic",,"ERR675679",
"MGYA00070472","3.0","ERS606318","MGYS00001193","metagenomic",,"ERR675528",
"MGYA00128469","3.0","ERS743139","MGYS00001787","metagenomic",,"ERR906509",
"MGYA00074765","3.0","ERS970239","MGYS00001225","metagenomic",,"ERR1135263",
"MGYA00070461","3.0","ERS606455","MGYS00001193","metagenomic",,"ERR675671",
"MGYA00074556","3.0","ERS970288","MGYS00001225","metagenomic",,"ERR1135312",
"MGYA00074233","3.0","ERS970416","MGYS00001225","metagenomic",,"ERR1135735",
"MGYA00128397","3.0","ERS743183","MGYS00001787","metagenomic",,"ERR906553",
"MGYA00070342","3.0","ERS606397","MGYS00001193","metagenomic",,"ERR675607",
"MGYA00074749","3.0","ERS970215","MGYS00001225","metagenomic",,"ERR1135239",
"MGYA00074579","3.0","ERS970371","MGYS00001225","metagenomic",,"ERR1135395",
"MGYA00074624","3.0","ERS970367","MGYS00001225","metagenomic",,"ERR1135391",
"MGYA00074703","3.0","ERS970388","MGYS00001225","metagenomic",,"ERR1135412",
"MGYA00074553","3.0","ERS970379","MGYS00001225","metagenomic",,"ERR1135403",
"MGYA00074398","3.0","ERS970208","MGYS00001225","metagenomic",,"ERR1135232",
"MGYA00074348","3.0","ERS970249","MGYS00001225","metagenomic",,"ERR1135273",
"MGYA00133728","3.0","ERS1847606","MGYS00001912","metagenomic",,"ERR2059953",
"MGYA00070201","3.0","ERS606464","MGYS00001193","metagenomic",,"ERR675680",
"MGYA00070212","3.0","ERS606442","MGYS00001193","metagenomic",,"ERR675658",
"MGYA00074259","3.0","ERS970357","MGYS00001225","metagenomic",,"ERR1135381",
"MGYA00133726","3.0","ERS1847597","MGYS00001912","metagenomic",,"ERR2059944",
"MGYA00070226","3.0","ERS606393","MGYS00001193","metagenomic",,"ERR675603",
"MGYA00074593","3.0","ERS970415","MGYS00001225","metagenomic",,"ERR1135439",
"MGYA00074557","3.0","ERS970163","MGYS00001225","metagenomic",,"ERR1135187",
"MGYA00070183","3.0","ERS606304","MGYS00001193","metagenomic",,"ERR675514",
"MGYA00074368","3.0","ERS970296","MGYS00001225","metagenomic",,"ERR1135320",
"MGYA00128402","3.0","ERS743150","MGYS00001787","metagenomic",,"ERR906520",
"MGYA00074517","3.0","ERS970391","MGYS00001225","metagenomic",,"ERR1135415",
"MGYA00094744","3.0","ERS1474383","MGYS00001380","metagenomic",,"ERR1762113",
"MGYA00128546","3.0","ERS723665","MGYS00001796","metagenomic",,"ERR878290",
"MGYA00128558","3.0","ERS723635","MGYS00001796","metagenomic",,"ERR878258",
"MGYA00128348","3.0","ERS743130","MGYS00001787","metagenomic",,"ERR906500",
"MGYA00103117","3.0","ERS1571323","MGYS00001559","metagenomic",,"ERR1855542",
"MGYA00070329","3.0","ERS606324","MGYS00001193","metagenomic",,"ERR675534",
"MGYA00074605","3.0","ERS970274","MGYS00001225","metagenomic",,"ERR1135298",
"MGYA00133734","3.0","ERS1847593","MGYS00001912","metagenomic",,"ERR2059940",
"MGYA00070181","3.0","ERS606453","MGYS00001193","metagenomic",,"ERR675669",
"MGYA00074310","3.0","ERS970370","MGYS00001225","metagenomic",,"ERR1135689",
"MGYA00070384","3.0","ERS606343","MGYS00001193","metagenomic",,"ERR675553",
"MGYA00128410","3.0","ERS743180","MGYS00001787","metagenomic",,"ERR906550",
"MGYA00074485","3.0","ERS970438","MGYS00001225","metagenomic",,"ERR1135757",
"MGYA00103107","3.0","ERS1571318","MGYS00001559","metagenomic",,"ERR1855537",
"MGYA00074767","3.0","ERS970403","MGYS00001225","metagenomic",,"ERR1135722",
"MGYA00128560","3.0","ERS723596","MGYS00001796","metagenomic",,"ERR878218",
"MGYA00128428","3.0","ERS743111","MGYS00001787","metagenomic",,"ERR906481",
"MGYA00074437","3.0","ERS970184","MGYS00001225","metagenomic",,"ERR1135208",
"MGYA00074744","3.0","ERS970234","MGYS00001225","metagenomic",,"ERR1135258",
"MGYA00103121","3.0","ERS1571317","MGYS00001559","metagenomic",,"ERR1855536",
"MGYA00074694","3.0","ERS970332","MGYS00001225","metagenomic",,"ERR1135356",
"MGYA00074319","3.0","ERS970402","MGYS00001225","metagenomic",,"ERR1135426",
"MGYA00128389","3.0","ERS743165","MGYS00001787","metagenomic",,"ERR906535",
"MGYA00070389","3.0","ERS606469","MGYS00001193","metagenomic",,"ERR675685",
"MGYA00074602","3.0","ERS970381","MGYS00001225","metagenomic",,"ERR1135405",
"MGYA00074237","3.0","ERS970198","MGYS00001225","metagenomic",,"ERR1135222",
"MGYA00094759","3.0","ERS1474380","MGYS00001380","metagenomic",,"ERR1762127",
"MGYA00122977","3.0","ERS1696254","MGYS00001733","metagenomic",,"ERR1950669",
"MGYA00133732","3.0","ERS1847608","MGYS00001912","metagenomic",,"ERR2059955",
"MGYA00128269","3.0","ERS765161","MGYS00001786","metagenomic",,"ERR1308118",
