Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00127067,3.0,SRS1044735,MGYS00001773,metagenomic,,SRR2182549,
MGYA00127085,3.0,SRS1044739,MGYS00001773,metagenomic,,SRR2182537,
MGYA00124001,3.0,SRS1973013,MGYS00001747,metagenomic,,SRR5249718,
MGYA00127091,3.0,SRS1044731,MGYS00001773,metagenomic,,SRR2182535,
MGYA00124005,3.0,SRS1973016,MGYS00001747,metagenomic,,SRR5249721,
MGYA00102740,3.0,ERS1566222,MGYS00001449,metagenomic,,ERR1854462,
MGYA00123981,3.0,SRS1973005,MGYS00001747,metagenomic,,SRR5249710,
MGYA00124023,3.0,SRS1973038,MGYS00001747,metagenomic,,SRR5249743,
MGYA00123998,3.0,SRS1973033,MGYS00001747,metagenomic,,SRR5249738,
MGYA00131850,3.0,SRS1659779,MGYS00001842,metagenomic,,SRR4101317,
MGYA00127074,3.0,SRS1044732,MGYS00001773,metagenomic,,SRR2182532,
MGYA00131831,3.0,SRS1659778,MGYS00001842,metagenomic,,SRR4101313,
MGYA00123995,3.0,SRS1973026,MGYS00001747,metagenomic,,SRR5249731,
MGYA00127082,3.0,SRS1044733,MGYS00001773,metagenomic,,SRR2182531,
MGYA00105559,3.0,ERS654087,MGYS00001637,metagenomic,,ERR752916,
MGYA00102747,3.0,ERS1566220,MGYS00001449,metagenomic,,ERR1854460,
MGYA00124010,3.0,SRS1973037,MGYS00001747,metagenomic,,SRR5249742,
MGYA00124009,3.0,SRS1973035,MGYS00001747,metagenomic,,SRR5249740,
MGYA00131830,3.0,SRS1659769,MGYS00001842,metagenomic,,SRR4101289,
MGYA00124002,3.0,SRS1973009,MGYS00001747,metagenomic,,SRR5249714,
MGYA00102741,3.0,ERS1566218,MGYS00001449,metagenomic,,ERR1854458,
MGYA00123978,3.0,SRS1972996,MGYS00001747,metagenomic,,SRR5249701,
MGYA00102745,3.0,ERS1566225,MGYS00001449,metagenomic,,ERR1854465,
MGYA00123986,3.0,SRS1973021,MGYS00001747,metagenomic,,SRR5249726,
MGYA00124026,3.0,SRS1972997,MGYS00001747,metagenomic,,SRR5249702,
MGYA00131835,3.0,SRS1659774,MGYS00001842,metagenomic,,SRR4101303,
MGYA00127086,3.0,SRS1044737,MGYS00001773,metagenomic,,SRR2182545,
MGYA00124015,3.0,SRS1973006,MGYS00001747,metagenomic,,SRR5249711,
MGYA00131825,3.0,SRS1659773,MGYS00001842,metagenomic,,SRR4101302,
MGYA00131840,3.0,SRS1659772,MGYS00001842,metagenomic,,SRR4101297,
MGYA00127092,3.0,SRS1044737,MGYS00001773,metagenomic,,SRR2182544,
MGYA00124004,3.0,SRS1973040,MGYS00001747,metagenomic,,SRR5249745,
MGYA00124022,3.0,SRS1973018,MGYS00001747,metagenomic,,SRR5249723,
MGYA00102749,3.0,ERS1566226,MGYS00001449,metagenomic,,ERR1854466,
MGYA00123993,3.0,SRS1973041,MGYS00001747,metagenomic,,SRR5249746,
MGYA00127093,3.0,SRS1044732,MGYS00001773,metagenomic,,SRR2182558,
MGYA00127072,3.0,SRS1044734,MGYS00001773,metagenomic,,SRR2182553,
MGYA00123985,3.0,SRS1973020,MGYS00001747,metagenomic,,SRR5249725,
MGYA00105562,3.0,ERS654081,MGYS00001637,metagenomic,,ERR752910,
MGYA00102748,3.0,ERS1566224,MGYS00001449,metagenomic,,ERR1854464,
MGYA00123980,3.0,SRS1972993,MGYS00001747,metagenomic,,SRR5249698,
MGYA00127076,3.0,SRS1044736,MGYS00001773,metagenomic,,SRR2182548,
MGYA00127087,3.0,SRS1044733,MGYS00001773,metagenomic,,SRR2182542,
MGYA00131839,3.0,SRS1659770,MGYS00001842,metagenomic,,SRR4101292,
MGYA00123989,3.0,SRS1973000,MGYS00001747,metagenomic,,SRR5249705,
MGYA00129028,3.0,ERS1770651,MGYS00001801,metagenomic,,ERR1994975,
MGYA00127088,3.0,SRS1044737,MGYS00001773,metagenomic,,SRR2182543,
MGYA00129029,3.0,ERS1769148,MGYS00001801,metagenomic,,ERR1994278,
MGYA00102739,3.0,ERS1566219,MGYS00001449,metagenomic,,ERR1854459,
MGYA00124012,3.0,SRS1973012,MGYS00001747,metagenomic,,SRR5249717,
