Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00069173,3.0,ERS1268600,MGYS00001184,metagenomic,,ERR1549323,
MGYA00128894,3.0,ERS473253,MGYS00001799,metagenomic,,ERR525918,
MGYA00129012,3.0,ERS473200,MGYS00001799,metagenomic,,ERR525865,
MGYA00102870,3.0,ERS1138839,MGYS00001556,metagenomic,,ERR1398174,
MGYA00128720,3.0,ERS473160,MGYS00001799,metagenomic,,ERR525825,
MGYA00113509,3.0,ERS199314,MGYS00001705,metagenomic,,ERR209750,
MGYA00102961,3.0,ERS1138756,MGYS00001556,metagenomic,,ERR1398113,
MGYA00102898,3.0,ERS1138807,MGYS00001556,metagenomic,,ERR1398234,
MGYA00102895,3.0,ERS1138749,MGYS00001556,metagenomic,,ERR1398138,
MGYA00113670,3.0,ERS199234,MGYS00001705,metagenomic,,ERR209617,
MGYA00067581,3.0,ERS1202872,MGYS00001143,metagenomic,,ERR1474574,
MGYA00128672,3.0,ERS473371,MGYS00001799,metagenomic,,ERR526036,
MGYA00102955,3.0,ERS1138824,MGYS00001556,metagenomic,,ERR1398070,
MGYA00128752,3.0,ERS473027,MGYS00001799,metagenomic,,ERR525692,
MGYA00115067,3.0,ERS199159,MGYS00001705,metagenomic,,ERR209495,
MGYA00114831,3.0,ERS199167,MGYS00001705,metagenomic,,ERR209510,
MGYA00113714,3.0,ERS199090,MGYS00001705,metagenomic,,ERR209260,
MGYA00071235,3.0,ERS1336013,MGYS00001209,metagenomic,,ERR1611385,
MGYA00114223,3.0,ERS199149,MGYS00001705,metagenomic,,ERR209475,
MGYA00095968,3.0,ERS1069675,MGYS00001420,metagenomic,,ERR1297706,
MGYA00067595,3.0,ERS1202875,MGYS00001143,metagenomic,,ERR1474577,
MGYA00128966,3.0,ERS473155,MGYS00001799,metagenomic,,ERR525820,
MGYA00113458,3.0,ERS199227,MGYS00001705,metagenomic,,ERR209609,
MGYA00113461,3.0,ERS199117,MGYS00001705,metagenomic,,ERR209390,
MGYA00128683,3.0,ERS473168,MGYS00001799,metagenomic,,ERR525833,
MGYA00114621,3.0,ERS199147,MGYS00001705,metagenomic,,ERR209473,
MGYA00067612,3.0,SRS512696,MGYS00001174,metagenomic,,SRR1045094,
MGYA00128762,3.0,ERS473212,MGYS00001799,metagenomic,,ERR525877,
MGYA00114003,3.0,ERS199355,MGYS00001705,metagenomic,,ERR209826,
MGYA00128703,3.0,ERS473346,MGYS00001799,metagenomic,,ERR526011,
MGYA00128711,3.0,ERS473046,MGYS00001799,metagenomic,,ERR525711,
MGYA00115083,3.0,ERS199038,MGYS00001705,metagenomic,,ERR209146,
MGYA00102872,3.0,ERS1138885,MGYS00001556,metagenomic,,ERR1398088,
MGYA00113816,3.0,ERS199226,MGYS00001705,metagenomic,,ERR209608,
MGYA00114048,3.0,ERS199365,MGYS00001705,metagenomic,,ERR209842,
MGYA00095967,3.0,ERS1069677,MGYS00001420,metagenomic,,ERR1297842,
MGYA00128807,3.0,ERS473217,MGYS00001799,metagenomic,,ERR525882,
MGYA00071205,3.0,ERS1336010,MGYS00001209,metagenomic,,ERR1611382,
MGYA00113913,3.0,ERS199377,MGYS00001705,metagenomic,,ERR209862,
MGYA00114270,3.0,ERS199177,MGYS00001705,metagenomic,,ERR209529,
MGYA00096173,3.0,ERS1069656,MGYS00001420,metagenomic,,ERR1297666,
MGYA00128696,3.0,ERS473377,MGYS00001799,metagenomic,,ERR526042,
MGYA00128775,3.0,ERS473065,MGYS00001799,metagenomic,,ERR525730,
MGYA00114458,3.0,ERS199171,MGYS00001705,metagenomic,,ERR209517,
MGYA00067605,3.0,SRS943646,MGYS00001174,metagenomic,,SRR2037087,
MGYA00113656,3.0,ERS199033,MGYS00001705,metagenomic,,ERR209137,
MGYA00115034,3.0,ERS199142,MGYS00001705,metagenomic,,ERR209468,
MGYA00114405,3.0,ERS199384,MGYS00001705,metagenomic,,ERR209882,
MGYA00128930,3.0,ERS473291,MGYS00001799,metagenomic,,ERR525956,
MGYA00071231,3.0,ERS1336026,MGYS00001209,metagenomic,,ERR1611398,
