Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00133872,3.0,ERS489113,MGYS00001918,metagenomic,,ERR594403,
MGYA00083337,3.0,ERS1370015,MGYS00001282,metagenomic,,ERR1662424,
MGYA00083290,3.0,ERS1370026,MGYS00001282,metagenomic,,ERR1662336,
MGYA00134812,3.0,SRS981307,MGYS00001932,metagenomic,,SRR2090086,
MGYA00133831,3.0,ERS489084,MGYS00001918,metagenomic,,ERR594372,
MGYA00126341,3.0,SRS085782,MGYS00000355,metagenomic,,SRR062261,
MGYA00083439,3.0,ERS1372604,MGYS00001282,metagenomic,,ERR1664678,
MGYA00133817,3.0,ERS489943,MGYS00001918,metagenomic,,ERR594392,
MGYA00100646,3.0,ERS1286206,MGYS00001512,metagenomic,,ERR1560105,
MGYA00083483,3.0,ERS1370015,MGYS00001282,metagenomic,,ERR1662421,
MGYA00126384,3.0,SRS085774,MGYS00000355,metagenomic,,SRR062251,
MGYA00104119,3.0,ERS614333,MGYS00001609,metagenomic,,ERR694186,
MGYA00096453,3.0,ERS1507288,MGYS00001432,metagenomic,,ERR1801666,
MGYA00100663,3.0,ERS1286202,MGYS00001512,metagenomic,,ERR1560101,
MGYA00131525,3.0,SRS172670,MGYS00001836,metagenomic,,SRR100501,
MGYA00126368,3.0,SRS085703,MGYS00000355,metagenomic,,SRR062176,
MGYA00085836,3.0,ERS1396366,MGYS00001320,metagenomic,,ERR1739699,
MGYA00083443,3.0,ERS1370027,MGYS00001282,metagenomic,,ERR1662345,
MGYA00126433,3.0,SRS085706,MGYS00000355,metagenomic,,SRR062179,
MGYA00104077,3.0,ERS614333,MGYS00001609,metagenomic,,ERR694179,
MGYA00134051,3.0,ERS1573120,MGYS00001926,metagenomic,,ERR2021503,
MGYA00083228,3.0,ERS1370020,MGYS00001282,metagenomic,,ERR1662488,
MGYA00134796,3.0,SRS981313,MGYS00001932,metagenomic,,SRR2090080,
MGYA00134765,3.0,SRS981289,MGYS00001932,metagenomic,,SRR2090121,
MGYA00096486,3.0,ERS1507287,MGYS00001432,metagenomic,,ERR1800786,
MGYA00102624,3.0,SRS1044027,MGYS00001539,metagenomic,,SRR2135725,
MGYA00134786,3.0,SRS981335,MGYS00001932,metagenomic,,SRR2090057,
MGYA00083262,3.0,ERS1370022,MGYS00001282,metagenomic,,ERR1662246,
MGYA00126441,3.0,SRS085699,MGYS00000355,metagenomic,,SRR062172,
MGYA00083437,3.0,ERS1370014,MGYS00001282,metagenomic,,ERR1662395,
MGYA00083372,3.0,ERS1370026,MGYS00001282,metagenomic,,ERR1662342,
MGYA00133870,3.0,ERS490676,MGYS00001918,metagenomic,,ERR594411,
MGYA00083330,3.0,ERS1370024,MGYS00001282,metagenomic,,ERR1662270,
MGYA00103983,3.0,ERS714917,MGYS00001608,metagenomic,,ERR868053,
MGYA00083283,3.0,ERS1370024,MGYS00001282,metagenomic,,ERR1662271,
MGYA00083320,3.0,ERS1372608,MGYS00001282,metagenomic,,ERR1664707,
MGYA00102622,3.0,SRS1044006,MGYS00001539,metagenomic,,SRR2135714,
MGYA00134829,3.0,SRS981281,MGYS00001932,metagenomic,,SRR2090129,
MGYA00083453,3.0,ERS1370017,MGYS00001282,metagenomic,,ERR1662201,
MGYA00134797,3.0,SRS981295,MGYS00001932,metagenomic,,SRR2090115,
MGYA00103984,3.0,ERS714918,MGYS00001608,metagenomic,,ERR868091,
MGYA00100741,3.0,ERS955806,MGYS00001522,metagenomic,,ERR1111517,
MGYA00100641,3.0,ERS1286197,MGYS00001512,metagenomic,,ERR1560096,
MGYA00102612,3.0,SRS1043971,MGYS00001539,metagenomic,,SRR2135775,
MGYA00133875,3.0,ERS488448,MGYS00001918,metagenomic,,ERR594378,
MGYA00126393,3.0,SRS085717,MGYS00000355,metagenomic,,SRR062190,
MGYA00104131,3.0,ERS614331,MGYS00001609,metagenomic,,ERR694165,
MGYA00083460,3.0,ERS1370025,MGYS00001282,metagenomic,,ERR1662297,
MGYA00103326,3.0,ERS1568997,MGYS00000991,metagenomic,,ERR1855263,
MGYA00126353,3.0,SRS085666,MGYS00000355,metagenomic,,SRR062139,
