Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00103296,3.0,ERS1572693,MGYS00001566,metagenomic,,ERR1857185,
MGYA00103269,3.0,ERS1572695,MGYS00001566,metagenomic,,ERR1857187,
MGYA00095129,3.0,ERS805497,MGYS00001392,metagenomic,,ERR977415,
MGYA00095140,3.0,ERS805488,MGYS00001392,metagenomic,,ERR977410,
MGYA00103266,3.0,ERS1572703,MGYS00001566,metagenomic,,ERR1857195,
MGYA00097785,3.0,ERS1545892,MGYS00001453,metagenomic,,ERR1823511,
MGYA00082010,3.0,SRS976605,MGYS00001277,metagenomic,,SRR2107218,
MGYA00095058,3.0,ERS223627,MGYS00001389,metagenomic,,ERR276848,
MGYA00095144,3.0,ERS805495,MGYS00001392,metagenomic,,ERR977406,
MGYA00097786,3.0,ERS1545893,MGYS00001453,metagenomic,,ERR1823512,
MGYA00082006,3.0,SRS976605,MGYS00001277,metagenomic,,SRR2107219,
MGYA00082016,3.0,SRS976080,MGYS00001277,metagenomic,,SRR2107216,
MGYA00103274,3.0,ERS1572716,MGYS00001566,metagenomic,,ERR1857208,
MGYA00095126,3.0,ERS805486,MGYS00001392,metagenomic,,ERR977407,
MGYA00103277,3.0,ERS1572694,MGYS00001566,metagenomic,,ERR1857186,
MGYA00082025,3.0,SRS976081,MGYS00001277,metagenomic,,SRR2107185,
MGYA00131886,3.0,DRS034404,MGYS00001851,metagenomic,,DRR066659,
MGYA00082015,3.0,SRS976072,MGYS00001277,metagenomic,,SRR2107180,
MGYA00094779,3.0,ERS666859,MGYS00001382,metagenomic,,ERR770583,
MGYA00095125,3.0,ERS918710,MGYS00001391,metagenomic,,ERR1076080,
MGYA00103281,3.0,ERS1572702,MGYS00001566,metagenomic,,ERR1857194,
MGYA00082011,3.0,SRS976072,MGYS00001277,metagenomic,,SRR2107181,
MGYA00095118,3.0,ERS918710,MGYS00001391,metagenomic,,ERR1076077,
MGYA00095141,3.0,ERS805496,MGYS00001392,metagenomic,,ERR977412,
MGYA00103276,3.0,ERS1572717,MGYS00001566,metagenomic,,ERR1857209,
MGYA00103267,3.0,ERS1572712,MGYS00001566,metagenomic,,ERR1857204,
MGYA00082014,3.0,SRS976079,MGYS00001277,metagenomic,,SRR2107213,
MGYA00131887,3.0,DRS034403,MGYS00001851,metagenomic,,DRR066658,
MGYA00094778,3.0,ERS666857,MGYS00001382,metagenomic,,ERR770581,
MGYA00097784,3.0,ERS1545891,MGYS00001453,metagenomic,,ERR1823510,
MGYA00103299,3.0,ERS1572700,MGYS00001566,metagenomic,,ERR1857192,
MGYA00103264,3.0,ERS1572720,MGYS00001566,metagenomic,,ERR1857212,
MGYA00095132,3.0,ERS805496,MGYS00001392,metagenomic,,ERR977411,
MGYA00095124,3.0,ERS918710,MGYS00001391,metagenomic,,ERR1076075,
MGYA00095146,3.0,ERS805489,MGYS00001392,metagenomic,,ERR977423,
MGYA00095136,3.0,ERS805494,MGYS00001392,metagenomic,,ERR977405,
MGYA00103294,3.0,ERS1572713,MGYS00001566,metagenomic,,ERR1857205,
MGYA00103265,3.0,ERS1572699,MGYS00001566,metagenomic,,ERR1857191,
MGYA00103279,3.0,ERS1572691,MGYS00001566,metagenomic,,ERR1857183,
MGYA00082023,3.0,SRS976080,MGYS00001277,metagenomic,,SRR2107215,
MGYA00095143,3.0,ERS805498,MGYS00001392,metagenomic,,ERR977417,
MGYA00095117,3.0,ERS918710,MGYS00001391,metagenomic,,ERR1076078,
MGYA00103297,3.0,ERS1572724,MGYS00001566,metagenomic,,ERR1857216,
MGYA00095122,3.0,ERS918710,MGYS00001391,metagenomic,,ERR1076082,
MGYA00082026,3.0,SRS976606,MGYS00001277,metagenomic,,SRR2107177,
MGYA00082005,3.0,SRS976079,MGYS00001277,metagenomic,,SRR2107212,
MGYA00082019,3.0,SRS976606,MGYS00001277,metagenomic,,SRR2107176,
MGYA00103295,3.0,ERS1572705,MGYS00001566,metagenomic,,ERR1857197,
MGYA00095145,3.0,ERS805498,MGYS00001392,metagenomic,,ERR977419,
MGYA00095123,3.0,ERS918710,MGYS00001391,metagenomic,,ERR1076079,
