"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00046517","2.0","ERS689235","MGYS00000974","metagenomic",,"ERR833411",
"MGYA00046574","2.0","ERS689249","MGYS00000974","metagenomic",,"ERR833441",
"MGYA00005042","2.0","ERS657526","MGYS00000464","metagenomic",,"ERR754624",
"MGYA00046601","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833407",
"MGYA00005222","2.0","ERS490691","MGYS00000410","metagenomic",,"ERR599046",
"MGYA00046793","2.0","ERS689224","MGYS00000974","metagenomic",,"ERR833389",
"MGYA00004769","2.0","ERS667502","MGYS00000462","metagenomic",,"ERR771053",
"MGYA00046826","2.0","ERS689307","MGYS00000974","metagenomic",,"ERR833514",
"MGYA00010432","2.0","SRS190928","MGYS00000296","metagenomic",,"SRR192265",
"MGYA00046551","2.0","ERS689272","MGYS00000974","metagenomic",,"ERR833471",
"MGYA00046732","2.0","ERS689302","MGYS00000974","metagenomic",,"ERR833508",
"MGYA00005237","2.0","ERS492888","MGYS00000410","metagenomic",,"ERR599114",
"MGYA00050340","2.0","ERS1173816","MGYS00000990","metagenomic",,"ERR1419304",
"MGYA00046799","2.0","ERS689374","MGYS00000974","metagenomic",,"ERR833584",
"MGYA00046684","2.0","ERS689162","MGYS00000974","metagenomic",,"ERR833307",
"MGYA00005138","2.0","ERS477979","MGYS00000410","metagenomic",,"ERR164409",
"MGYA00046823","2.0","ERS689304","MGYS00000974","metagenomic",,"ERR833511",
"MGYA00028439","2.0","ERS1065434","MGYS00000615","metagenomic",,"ERR1278172",
"MGYA00034873","2.0","ERS819279","MGYS00000641","metagenomic",,"ERR986589",
"MGYA00010415","2.0","SRS190977","MGYS00000296","metagenomic",,"SRR192559",
"MGYA00005703","2.0","ERS612894","MGYS00000447","metagenomic",,"ERR688346",
"MGYA00046543","2.0","ERS689316","MGYS00000974","metagenomic",,"ERR833523",
"MGYA00004697","2.0","ERS667597","MGYS00000462","metagenomic",,"ERR770984",
"MGYA00011872","2.0","ERS905302","MGYS00000554","metagenomic",,"ERR1056313",
"MGYA00005233","2.0","ERS490085","MGYS00000410","metagenomic",,"ERR599110",
"MGYA00034858","2.0","ERS819287","MGYS00000641","metagenomic",,"ERR986598",
"MGYA00046767","2.0","ERS689263","MGYS00000974","metagenomic",,"ERR833462",
"MGYA00004692","2.0","ERS667602","MGYS00000462","metagenomic",,"ERR770990",
"MGYA00004776","2.0","ERS667494","MGYS00000462","metagenomic",,"ERR771046",
"MGYA00005158","2.0","ERS489987","MGYS00000410","metagenomic",,"ERR599021",
"MGYA00034866","2.0","ERS819336","MGYS00000641","metagenomic",,"ERR986647",
"MGYA00005290","2.0","ERS478017","MGYS00000410","metagenomic",,"ERR315863",
"MGYA00050331","2.0","ERS1173809","MGYS00000990","metagenomic",,"ERR1419297",
"MGYA00005270","2.0","ERS491421","MGYS00000410","metagenomic",,"ERR599064",
"MGYA00034870","2.0","ERS819338","MGYS00000641","metagenomic",,"ERR986649",
"MGYA00046827","2.0","ERS689308","MGYS00000974","metagenomic",,"ERR833515",
"MGYA00005274","2.0","ERS493822","MGYS00000410","metagenomic",,"ERR599060",
"MGYA00005180","2.0","ERS489529","MGYS00000410","metagenomic",,"ERR599139",
"MGYA00028455","2.0","ERS1065425","MGYS00000615","metagenomic",,"ERR1278163",
"MGYA00005106","2.0","ERS477979","MGYS00000410","metagenomic",,"ERR315861",
"MGYA00046814","2.0","ERS689201","MGYS00000974","metagenomic",,"ERR833354",
"MGYA00046749","2.0","ERS689405","MGYS00000974","metagenomic",,"ERR833615",
"MGYA00005080","2.0","ERS493431","MGYS00000410","metagenomic",,"ERR598942",
"MGYA00046560","2.0","ERS689385","MGYS00000974","metagenomic",,"ERR833595",
"MGYA00004700","2.0","ERS667594","MGYS00000462","metagenomic",,"ERR770981",
"MGYA00005253","2.0","ERS492145","MGYS00000410","metagenomic",,"ERR598997",
"MGYA00005145","2.0","ERS487936","MGYS00000410","metagenomic",,"ERR599095",
"MGYA00046609","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833409",
"MGYA00046809","2.0","ERS689240","MGYS00000974","metagenomic",,"ERR833421",
"MGYA00046556","2.0","ERS689381","MGYS00000974","metagenomic",,"ERR833591",
"MGYA00046651","2.0","ERS689146","MGYS00000974","metagenomic",,"ERR833289",
"MGYA00046610","2.0","ERS689183","MGYS00000974","metagenomic",,"ERR833330",
"MGYA00005094","2.0","ERS488849","MGYS00000410","metagenomic",,"ERR599167",
"MGYA00005122","2.0","ERS489585","MGYS00000410","metagenomic",,"ERR599016",
"MGYA00004658","2.0","ERS667651","MGYS00000462","metagenomic",,"ERR771043",
"MGYA00012630","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163131",
"MGYA00004777","2.0","ERS667493","MGYS00000462","metagenomic",,"ERR771045",
"MGYA00005054","2.0","ERS494445","MGYS00000410","metagenomic",,"ERR599170",
"MGYA00005264","2.0","ERS490296","MGYS00000410","metagenomic",,"ERR599103",
"MGYA00005277","2.0","ERS492814","MGYS00000410","metagenomic",,"ERR599069",
"MGYA00005078","2.0","ERS489134","MGYS00000410","metagenomic",,"ERR599130",
"MGYA00005124","2.0","ERS492264","MGYS00000410","metagenomic",,"ERR599014",
"MGYA00004786","2.0","ERS667484","MGYS00000462","metagenomic",,"ERR771035",
"MGYA00046606","2.0","ERS689228","MGYS00000974","metagenomic",,"ERR833400",
"MGYA00004679","2.0","ERS667625","MGYS00000462","metagenomic",,"ERR771005",
"MGYA00005226","2.0","ERS492680","MGYS00000410","metagenomic",,"ERR599083",
"MGYA00046707","2.0","ERS689283","MGYS00000974","metagenomic",,"ERR833483",
"MGYA00010418","2.0","SRS259965","MGYS00000296","metagenomic",,"SRR341935",
"MGYA00046714","2.0","ERS689244","MGYS00000974","metagenomic",,"ERR833432",
"MGYA00012610","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163135",
"MGYA00005157","2.0","ERS490373","MGYS00000410","metagenomic",,"ERR599149",
"MGYA00005271","2.0","ERS491836","MGYS00000410","metagenomic",,"ERR599063",
"MGYA00010576","2.0","ERS612897","MGYS00000447","metagenomic",,"ERR688349",
"MGYA00046683","2.0","ERS689160","MGYS00000974","metagenomic",,"ERR833304",
"MGYA00034836","2.0","ERS819284","MGYS00000641","metagenomic",,"ERR986595",
"MGYA00046647","2.0","ERS689130","MGYS00000974","metagenomic",,"ERR833272",
"MGYA00034844","2.0","ERS819305","MGYS00000641","metagenomic",,"ERR986616",
"MGYA00046646","2.0","ERS689131","MGYS00000974","metagenomic",,"ERR833273",
"MGYA00005089","2.0","ERS493877","MGYS00000410","metagenomic",,"ERR599162",
"MGYA00046573","2.0","ERS689248","MGYS00000974","metagenomic",,"ERR833440",
