"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00050340","2.0","ERS1173816","MGYS00000990","metagenomic",,"ERR1419304",
"MGYA00050331","2.0","ERS1173809","MGYS00000990","metagenomic",,"ERR1419297",
"MGYA00012649","2.0","ERS1014200","MGYS00000590","metagenomic",,"ERR1189628",
"MGYA00050330","2.0","ERS1173810","MGYS00000990","metagenomic",,"ERR1419298",
"MGYA00050336","2.0","ERS1173804","MGYS00000990","metagenomic",,"ERR1419292",
"MGYA00050332","2.0","ERS1173808","MGYS00000990","metagenomic",,"ERR1419296",
"MGYA00050337","2.0","ERS1173803","MGYS00000990","metagenomic",,"ERR1419291",
"MGYA00050335","2.0","ERS1173805","MGYS00000990","metagenomic",,"ERR1419293",
"MGYA00050341","2.0","ERS1173812","MGYS00000990","metagenomic",,"ERR1419300",
"MGYA00050342","2.0","ERS1173815","MGYS00000990","metagenomic",,"ERR1419303",
"MGYA00050328","2.0","ERS1173814","MGYS00000990","metagenomic",,"ERR1419302",
"MGYA00050329","2.0","ERS1173811","MGYS00000990","metagenomic",,"ERR1419299",
"MGYA00050338","2.0","ERS1173802","MGYS00000990","metagenomic",,"ERR1419290",
"MGYA00050339","2.0","ERS1173813","MGYS00000990","metagenomic",,"ERR1419301",
"MGYA00050333","2.0","ERS1173807","MGYS00000990","metagenomic",,"ERR1419295",
"MGYA00050327","2.0","ERS1173801","MGYS00000990","metagenomic",,"ERR1419289",
"MGYA00050334","2.0","ERS1173806","MGYS00000990","metagenomic",,"ERR1419294",
