"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00012630","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163131",
"MGYA00012610","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163135",
"MGYA00011112","2.0","ERS399634","MGYS00000360","metagenomic",,"ERR420353",
"MGYA00012581","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163086",
"MGYA00012631","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163132",
"MGYA00011106","2.0","ERS399632","MGYS00000360","metagenomic",,"ERR420347",
"MGYA00012599","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163109",
"MGYA00012641","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163071",
"MGYA00012579","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163084",
"MGYA00012600","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163108",
"MGYA00012577","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163082",
"MGYA00012601","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163115",
"MGYA00012645","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163075",
"MGYA00012603","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163068",
"MGYA00011105","2.0","ERS399632","MGYS00000360","metagenomic",,"ERR420346",
"MGYA00011124","2.0","ERS399638","MGYS00000360","metagenomic",,"ERR420365",
"MGYA00012616","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163093",
"MGYA00011127","2.0","ERS399638","MGYS00000360","metagenomic",,"ERR420368",
"MGYA00012642","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163070",
"MGYA00012597","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163107",
"MGYA00012617","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163092",
"MGYA00011125","2.0","ERS399638","MGYS00000360","metagenomic",,"ERR420366",
"MGYA00012589","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163125",
"MGYA00012595","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163105",
"MGYA00012573","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163114",
"MGYA00012644","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163072",
"MGYA00011126","2.0","ERS399638","MGYS00000360","metagenomic",,"ERR420367",
"MGYA00012604","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163069",
"MGYA00011116","2.0","ERS399636","MGYS00000360","metagenomic",,"ERR420357",
"MGYA00012609","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163112",
"MGYA00012636","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163129",
"MGYA00012587","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163127",
"MGYA00012628","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163111",
"MGYA00012627","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163110",
"MGYA00011113","2.0","ERS399634","MGYS00000360","metagenomic",,"ERR420354",
"MGYA00012643","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163073",
"MGYA00012580","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163085",
"MGYA00012626","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163113",
"MGYA00012620","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163130",
"MGYA00012582","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163087",
"MGYA00012615","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163094",
"MGYA00012619","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163090",
"MGYA00012583","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163088",
"MGYA00012639","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163128",
"MGYA00012588","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163126",
"MGYA00011104","2.0","ERS399632","MGYS00000360","metagenomic",,"ERR420345",
"MGYA00012648","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163076",
"MGYA00012646","2.0","ERS1003593","MGYS00000588","metagenomic",,"ERR1163074",
"MGYA00011103","2.0","ERS399632","MGYS00000360","metagenomic",,"ERR420344",
"MGYA00012629","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163116",
"MGYA00012618","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163091",
"MGYA00011123","2.0","ERS399638","MGYS00000360","metagenomic",,"ERR420364",
"MGYA00011117","2.0","ERS399636","MGYS00000360","metagenomic",,"ERR420358",
"MGYA00012584","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163089",
"MGYA00011107","2.0","ERS399632","MGYS00000360","metagenomic",,"ERR420348",
"MGYA00012578","2.0","ERS1003595","MGYS00000588","metagenomic",,"ERR1163083",
"MGYA00012632","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163133",
"MGYA00012625","2.0","ERS1003599","MGYS00000588","metagenomic",,"ERR1163134",
"MGYA00011122","2.0","ERS399638","MGYS00000360","metagenomic",,"ERR420363",
"MGYA00012640","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163117",
"MGYA00012598","2.0","ERS1003597","MGYS00000588","metagenomic",,"ERR1163106",
