"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00046517","2.0","ERS689235","MGYS00000974","metagenomic",,"ERR833411",
"MGYA00046574","2.0","ERS689249","MGYS00000974","metagenomic",,"ERR833441",
"MGYA00046601","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833407",
"MGYA00005222","2.0","ERS490691","MGYS00000410","metagenomic",,"ERR599046",
"MGYA00046793","2.0","ERS689224","MGYS00000974","metagenomic",,"ERR833389",
"MGYA00046826","2.0","ERS689307","MGYS00000974","metagenomic",,"ERR833514",
"MGYA00046551","2.0","ERS689272","MGYS00000974","metagenomic",,"ERR833471",
"MGYA00046732","2.0","ERS689302","MGYS00000974","metagenomic",,"ERR833508",
"MGYA00005237","2.0","ERS492888","MGYS00000410","metagenomic",,"ERR599114",
"MGYA00046799","2.0","ERS689374","MGYS00000974","metagenomic",,"ERR833584",
"MGYA00046684","2.0","ERS689162","MGYS00000974","metagenomic",,"ERR833307",
"MGYA00005138","2.0","ERS477979","MGYS00000410","metagenomic",,"ERR164409",
"MGYA00046823","2.0","ERS689304","MGYS00000974","metagenomic",,"ERR833511",
"MGYA00046543","2.0","ERS689316","MGYS00000974","metagenomic",,"ERR833523",
"MGYA00011872","2.0","ERS905302","MGYS00000554","metagenomic",,"ERR1056313",
"MGYA00005233","2.0","ERS490085","MGYS00000410","metagenomic",,"ERR599110",
"MGYA00046767","2.0","ERS689263","MGYS00000974","metagenomic",,"ERR833462",
"MGYA00005158","2.0","ERS489987","MGYS00000410","metagenomic",,"ERR599021",
"MGYA00005290","2.0","ERS478017","MGYS00000410","metagenomic",,"ERR315863",
"MGYA00005270","2.0","ERS491421","MGYS00000410","metagenomic",,"ERR599064",
"MGYA00046827","2.0","ERS689308","MGYS00000974","metagenomic",,"ERR833515",
"MGYA00005274","2.0","ERS493822","MGYS00000410","metagenomic",,"ERR599060",
"MGYA00005180","2.0","ERS489529","MGYS00000410","metagenomic",,"ERR599139",
"MGYA00005106","2.0","ERS477979","MGYS00000410","metagenomic",,"ERR315861",
"MGYA00046814","2.0","ERS689201","MGYS00000974","metagenomic",,"ERR833354",
"MGYA00046749","2.0","ERS689405","MGYS00000974","metagenomic",,"ERR833615",
"MGYA00005080","2.0","ERS493431","MGYS00000410","metagenomic",,"ERR598942",
"MGYA00046560","2.0","ERS689385","MGYS00000974","metagenomic",,"ERR833595",
"MGYA00005253","2.0","ERS492145","MGYS00000410","metagenomic",,"ERR598997",
"MGYA00005145","2.0","ERS487936","MGYS00000410","metagenomic",,"ERR599095",
"MGYA00046609","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833409",
"MGYA00046809","2.0","ERS689240","MGYS00000974","metagenomic",,"ERR833421",
"MGYA00046556","2.0","ERS689381","MGYS00000974","metagenomic",,"ERR833591",
"MGYA00046651","2.0","ERS689146","MGYS00000974","metagenomic",,"ERR833289",
"MGYA00046610","2.0","ERS689183","MGYS00000974","metagenomic",,"ERR833330",
"MGYA00005094","2.0","ERS488849","MGYS00000410","metagenomic",,"ERR599167",
"MGYA00005122","2.0","ERS489585","MGYS00000410","metagenomic",,"ERR599016",
"MGYA00005054","2.0","ERS494445","MGYS00000410","metagenomic",,"ERR599170",
"MGYA00005264","2.0","ERS490296","MGYS00000410","metagenomic",,"ERR599103",
"MGYA00005277","2.0","ERS492814","MGYS00000410","metagenomic",,"ERR599069",
"MGYA00005078","2.0","ERS489134","MGYS00000410","metagenomic",,"ERR599130",
"MGYA00005124","2.0","ERS492264","MGYS00000410","metagenomic",,"ERR599014",
"MGYA00046606","2.0","ERS689228","MGYS00000974","metagenomic",,"ERR833400",
"MGYA00005226","2.0","ERS492680","MGYS00000410","metagenomic",,"ERR599083",
"MGYA00046707","2.0","ERS689283","MGYS00000974","metagenomic",,"ERR833483",
"MGYA00046714","2.0","ERS689244","MGYS00000974","metagenomic",,"ERR833432",
"MGYA00005157","2.0","ERS490373","MGYS00000410","metagenomic",,"ERR599149",
"MGYA00005271","2.0","ERS491836","MGYS00000410","metagenomic",,"ERR599063",
"MGYA00046683","2.0","ERS689160","MGYS00000974","metagenomic",,"ERR833304",
"MGYA00046647","2.0","ERS689130","MGYS00000974","metagenomic",,"ERR833272",
"MGYA00046646","2.0","ERS689131","MGYS00000974","metagenomic",,"ERR833273",
"MGYA00005089","2.0","ERS493877","MGYS00000410","metagenomic",,"ERR599162",
"MGYA00046573","2.0","ERS689248","MGYS00000974","metagenomic",,"ERR833440",
"MGYA00005058","2.0","ERS490265","MGYS00000410","metagenomic",,"ERR599174",
"MGYA00005121","2.0","ERS489315","MGYS00000410","metagenomic",,"ERR599019",
"MGYA00046597","2.0","ERS689289","MGYS00000974","metagenomic",,"ERR833493",
"MGYA00005235","2.0","ERS488569","MGYS00000410","metagenomic",,"ERR599116",
"MGYA00046670","2.0","ERS689276","MGYS00000974","metagenomic",,"ERR833475",
"MGYA00005087","2.0","ERS487899","MGYS00000410","metagenomic",,"ERR599003",
"MGYA00046795","2.0","ERS689253","MGYS00000974","metagenomic",,"ERR833448",
"MGYA00005258","2.0","ERS492408","MGYS00000410","metagenomic",,"ERR598954",
"MGYA00005125","2.0","ERS493705","MGYS00000410","metagenomic",,"ERR599015",
"MGYA00046548","2.0","ERS689319","MGYS00000974","metagenomic",,"ERR833526",
"MGYA00005147","2.0","ERS491699","MGYS00000410","metagenomic",,"ERR599093",
"MGYA00046822","2.0","ERS689303","MGYS00000974","metagenomic",,"ERR833510",
"MGYA00005196","2.0","ERS478040","MGYS00000410","metagenomic",,"ERR318619",
"MGYA00046656","2.0","ERS689141","MGYS00000974","metagenomic",,"ERR833284",
"MGYA00005074","2.0","ERS488621","MGYS00000410","metagenomic",,"ERR599134",
"MGYA00046565","2.0","ERS689357","MGYS00000974","metagenomic",,"ERR833567",
"MGYA00046571","2.0","ERS689250","MGYS00000974","metagenomic",,"ERR833442",
"MGYA00046661","2.0","ERS689367","MGYS00000974","metagenomic",,"ERR833577",
"MGYA00046794","2.0","ERS689223","MGYS00000974","metagenomic",,"ERR833388",
"MGYA00046731","2.0","ERS689302","MGYS00000974","metagenomic",,"ERR833509",
"MGYA00046687","2.0","ERS689372","MGYS00000974","metagenomic",,"ERR833582",
"MGYA00011877","2.0","ERS905303","MGYS00000554","metagenomic",,"ERR1056314",
"MGYA00005153","2.0","ERS493670","MGYS00000410","metagenomic",,"ERR599099",
"MGYA00011876","2.0","ERS905303","MGYS00000554","metagenomic",,"ERR1056315",
"MGYA00046697","2.0","ERS689215","MGYS00000974","metagenomic",,"ERR833373",
"MGYA00046627","2.0","ERS689329","MGYS00000974","metagenomic",,"ERR833537",
"MGYA00005071","2.0","ERS489917","MGYS00000410","metagenomic",,"ERR598970",
