"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00005222","2.0","ERS490691","MGYS00000410","metagenomic",,"ERR599046",
"MGYA00005233","2.0","ERS490085","MGYS00000410","metagenomic",,"ERR599110",
"MGYA00005080","2.0","ERS493431","MGYS00000410","metagenomic",,"ERR598942",
"MGYA00005145","2.0","ERS487936","MGYS00000410","metagenomic",,"ERR599095",
"MGYA00005122","2.0","ERS489585","MGYS00000410","metagenomic",,"ERR599016",
"MGYA00005264","2.0","ERS490296","MGYS00000410","metagenomic",,"ERR599103",
"MGYA00005078","2.0","ERS489134","MGYS00000410","metagenomic",,"ERR599130",
"MGYA00005124","2.0","ERS492264","MGYS00000410","metagenomic",,"ERR599014",
"MGYA00005196","2.0","ERS478040","MGYS00000410","metagenomic",,"ERR318619",
"MGYA00005153","2.0","ERS493670","MGYS00000410","metagenomic",,"ERR599099",
"MGYA00005251","2.0","ERS488685","MGYS00000410","metagenomic",,"ERR598975",
"MGYA00005190","2.0","ERS490476","MGYS00000410","metagenomic",,"ERR599133",
"MGYA00005083","2.0","ERS492012","MGYS00000410","metagenomic",,"ERR599007",
"MGYA00005149","2.0","ERS491913","MGYS00000410","metagenomic",,"ERR598953",
"MGYA00005275","2.0","ERS478040","MGYS00000410","metagenomic",,"ERR318620",
"MGYA00005186","2.0","ERS490476","MGYS00000410","metagenomic",,"ERR599137",
"MGYA00005204","2.0","ERS493340","MGYS00000410","metagenomic",,"ERR598995",
"MGYA00005288","2.0","ERS492012","MGYS00000410","metagenomic",,"ERR598962",
"MGYA00005230","2.0","ERS491874","MGYS00000410","metagenomic",,"ERR599113",
"MGYA00046509","2.0","ERS689340","MGYS00000974","metagenomic",,"ERR833550",
"MGYA00005193","2.0","ERS477998","MGYS00000410","metagenomic",,"ERR315859",
"MGYA00005216","2.0","ERS490597","MGYS00000410","metagenomic",,"ERR599040",
"MGYA00005146","2.0","ERS487936","MGYS00000410","metagenomic",,"ERR598950",
"MGYA00005131","2.0","ERS492926","MGYS00000410","metagenomic",,"ERR599156",
"MGYA00005110","2.0","ERS488830","MGYS00000410","metagenomic",,"ERR598949",
"MGYA00005066","2.0","ERS489074","MGYS00000410","metagenomic",,"ERR598977",
"MGYA00005227","2.0","ERS492445","MGYS00000410","metagenomic",,"ERR598957",
"MGYA00005107","2.0","ERS477998","MGYS00000410","metagenomic",,"ERR315860",
"MGYA00005144","2.0","ERS488509","MGYS00000410","metagenomic",,"ERR599094",
"MGYA00005244","2.0","ERS490296","MGYS00000410","metagenomic",,"ERR599056",
"MGYA00005232","2.0","ERS488685","MGYS00000410","metagenomic",,"ERR599111",
"MGYA00005257","2.0","ERS491095","MGYS00000410","metagenomic",,"ERR599104",
"MGYA00005252","2.0","ERS494488","MGYS00000410","metagenomic",,"ERR598996",
"MGYA00005228","2.0","ERS491913","MGYS00000410","metagenomic",,"ERR598981",
"MGYA00046699","2.0","ERS689378","MGYS00000974","metagenomic",,"ERR833588",
"MGYA00005269","2.0","ERS492177","MGYS00000410","metagenomic",,"ERR599065",
"MGYA00046510","2.0","ERS689341","MGYS00000974","metagenomic",,"ERR833551",
"MGYA00005265","2.0","ERS492177","MGYS00000410","metagenomic",,"ERR599108",
"MGYA00005189","2.0","ERS490163","MGYS00000410","metagenomic",,"ERR598982",
"MGYA00046512","2.0","ERS689343","MGYS00000974","metagenomic",,"ERR833553",
"MGYA00005098","2.0","ERS491874","MGYS00000410","metagenomic",,"ERR599081",
"MGYA00005241","2.0","ERS489074","MGYS00000410","metagenomic",,"ERR599053",
"MGYA00005273","2.0","ERS488599","MGYS00000410","metagenomic",,"ERR599061",
"MGYA00005148","2.0","ERS492177","MGYS00000410","metagenomic",,"ERR598952",
"MGYA00005103","2.0","ERS492863","MGYS00000410","metagenomic",,"ERR599084",
"MGYA00005169","2.0","ERS488916","MGYS00000410","metagenomic",,"ERR599145",
"MGYA00005183","2.0","ERS492863","MGYS00000410","metagenomic",,"ERR598988",
"MGYA00005234","2.0","ERS492778","MGYS00000410","metagenomic",,"ERR599117",
"MGYA00005285","2.0","ERS492357","MGYS00000410","metagenomic",,"ERR598961",
"MGYA00005199","2.0","ERS490085","MGYS00000410","metagenomic",,"ERR598990",
"MGYA00005162","2.0","ERS490002","MGYS00000410","metagenomic",,"ERR599025",
"MGYA00046763","2.0","ERS689335","MGYS00000974","metagenomic",,"ERR833545",
"MGYA00005262","2.0","ERS490691","MGYS00000410","metagenomic",,"ERR599101",
"MGYA00005141","2.0","ERS489846","MGYS00000410","metagenomic",,"ERR599026",
"MGYA00005281","2.0","ERS491463","MGYS00000410","metagenomic",,"ERR598965",
"MGYA00005161","2.0","ERS477998","MGYS00000410","metagenomic",,"ERR164408",
"MGYA00005119","2.0","ERS492699","MGYS00000410","metagenomic",,"ERR598948",
"MGYA00005123","2.0","ERS490296","MGYS00000410","metagenomic",,"ERR599017",
"MGYA00005197","2.0","ERS478040","MGYS00000410","metagenomic",,"ERR318618",
"MGYA00005134","2.0","ERS488509","MGYS00000410","metagenomic",,"ERR599153",
"MGYA00005276","2.0","ERS478040","MGYS00000410","metagenomic",,"ERR318621",
"MGYA00005044","2.0","ERS491740","MGYS00000410","metagenomic",,"ERR599079",
"MGYA00005118","2.0","ERS490597","MGYS00000410","metagenomic",,"ERR599148",
"MGYA00046508","2.0","ERS689347","MGYS00000974","metagenomic",,"ERR833557",
"MGYA00005171","2.0","ERS493670","MGYS00000410","metagenomic",,"ERR599147",
"MGYA00046761","2.0","ERS689337","MGYS00000974","metagenomic",,"ERR833547",
"MGYA00046506","2.0","ERS689345","MGYS00000974","metagenomic",,"ERR833555",
"MGYA00005156","2.0","ERS490002","MGYS00000410","metagenomic",,"ERR599023",
"MGYA00005104","2.0","ERS493788","MGYS00000410","metagenomic",,"ERR599087",
"MGYA00005062","2.0","ERS493098","MGYS00000410","metagenomic",,"ERR599032",
"MGYA00005048","2.0","ERS488346","MGYS00000410","metagenomic",,"ERR599073",
"MGYA00005218","2.0","ERS491740","MGYS00000410","metagenomic",,"ERR599042",
"MGYA00046527","2.0","ERS689178","MGYS00000974","metagenomic",,"ERR833325",
"MGYA00005254","2.0","ERS492778","MGYS00000410","metagenomic",,"ERR598998",
"MGYA00005184","2.0","ERS493670","MGYS00000410","metagenomic",,"ERR598987",
"MGYA00005185","2.0","ERS494559","MGYS00000410","metagenomic",,"ERR598986",
"MGYA00005261","2.0","ERS493981","MGYS00000410","metagenomic",,"ERR599100",
"MGYA00005130","2.0","ERS492778","MGYS00000410","metagenomic",,"ERR599157",
"MGYA00005092","2.0","ERS492863","MGYS00000410","metagenomic",,"ERR599161",
"MGYA00046505","2.0","ERS689344","MGYS00000974","metagenomic",,"ERR833554",
"MGYA00005160","2.0","ERS490928","MGYS00000410","metagenomic",,"ERR599027",
"MGYA00005112","2.0","ERS492863","MGYS00000410","metagenomic",,"ERR599089",
"MGYA00005260","2.0","ERS490163","MGYS00000410","metagenomic",,"ERR599107",
"MGYA00005116","2.0","ERS491913","MGYS00000410","metagenomic",,"ERR598946",
"MGYA00005211","2.0","ERS490928","MGYS00000410","metagenomic",,"ERR599122",
"MGYA00005045","2.0","ERS493670","MGYS00000410","metagenomic",,"ERR599070",
"MGYA00005099","2.0","ERS492012","MGYS00000410","metagenomic",,"ERR599168",
"MGYA00005088","2.0","ERS489585","MGYS00000410","metagenomic",,"ERR599002",
"MGYA00005289","2.0","ERS488346","MGYS00000410","metagenomic",,"ERR599092",
"MGYA00005069","2.0","ERS490002","MGYS00000410","metagenomic",,"ERR598972",
"MGYA00005143","2.0","ERS488599","MGYS00000410","metagenomic",,"ERR599097",
"MGYA00005172","2.0","ERS492778","MGYS00000410","metagenomic",,"ERR598956",
"MGYA00005120","2.0","ERS490085","MGYS00000410","metagenomic",,"ERR599018",
"MGYA00046568","2.0","ERS689350","MGYS00000974","metagenomic",,"ERR833560",
"MGYA00005127","2.0","ERS489134","MGYS00000410","metagenomic",,"ERR599013",
"MGYA00005214","2.0","ERS491095","MGYS00000410","metagenomic",,"ERR599121",
"MGYA00046755","2.0","ERS689339","MGYS00000974","metagenomic",,"ERR833549",
"MGYA00005111","2.0","ERS488830","MGYS00000410","metagenomic",,"ERR599082",
