"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00046517","2.0","ERS689235","MGYS00000974","metagenomic",,"ERR833411",
"MGYA00046574","2.0","ERS689249","MGYS00000974","metagenomic",,"ERR833441",
"MGYA00046601","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833407",
"MGYA00046793","2.0","ERS689224","MGYS00000974","metagenomic",,"ERR833389",
"MGYA00046826","2.0","ERS689307","MGYS00000974","metagenomic",,"ERR833514",
"MGYA00046551","2.0","ERS689272","MGYS00000974","metagenomic",,"ERR833471",
"MGYA00046732","2.0","ERS689302","MGYS00000974","metagenomic",,"ERR833508",
"MGYA00046799","2.0","ERS689374","MGYS00000974","metagenomic",,"ERR833584",
"MGYA00046684","2.0","ERS689162","MGYS00000974","metagenomic",,"ERR833307",
"MGYA00046823","2.0","ERS689304","MGYS00000974","metagenomic",,"ERR833511",
"MGYA00046543","2.0","ERS689316","MGYS00000974","metagenomic",,"ERR833523",
"MGYA00046767","2.0","ERS689263","MGYS00000974","metagenomic",,"ERR833462",
"MGYA00046827","2.0","ERS689308","MGYS00000974","metagenomic",,"ERR833515",
"MGYA00046814","2.0","ERS689201","MGYS00000974","metagenomic",,"ERR833354",
"MGYA00046749","2.0","ERS689405","MGYS00000974","metagenomic",,"ERR833615",
"MGYA00046560","2.0","ERS689385","MGYS00000974","metagenomic",,"ERR833595",
"MGYA00046609","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833409",
"MGYA00046809","2.0","ERS689240","MGYS00000974","metagenomic",,"ERR833421",
"MGYA00046556","2.0","ERS689381","MGYS00000974","metagenomic",,"ERR833591",
"MGYA00046651","2.0","ERS689146","MGYS00000974","metagenomic",,"ERR833289",
"MGYA00046610","2.0","ERS689183","MGYS00000974","metagenomic",,"ERR833330",
"MGYA00046606","2.0","ERS689228","MGYS00000974","metagenomic",,"ERR833400",
"MGYA00046707","2.0","ERS689283","MGYS00000974","metagenomic",,"ERR833483",
"MGYA00046714","2.0","ERS689244","MGYS00000974","metagenomic",,"ERR833432",
"MGYA00046683","2.0","ERS689160","MGYS00000974","metagenomic",,"ERR833304",
"MGYA00046647","2.0","ERS689130","MGYS00000974","metagenomic",,"ERR833272",
"MGYA00046646","2.0","ERS689131","MGYS00000974","metagenomic",,"ERR833273",
"MGYA00046573","2.0","ERS689248","MGYS00000974","metagenomic",,"ERR833440",
"MGYA00046597","2.0","ERS689289","MGYS00000974","metagenomic",,"ERR833493",
"MGYA00046670","2.0","ERS689276","MGYS00000974","metagenomic",,"ERR833475",
"MGYA00046795","2.0","ERS689253","MGYS00000974","metagenomic",,"ERR833448",
"MGYA00046548","2.0","ERS689319","MGYS00000974","metagenomic",,"ERR833526",
"MGYA00046822","2.0","ERS689303","MGYS00000974","metagenomic",,"ERR833510",
"MGYA00046656","2.0","ERS689141","MGYS00000974","metagenomic",,"ERR833284",
"MGYA00046565","2.0","ERS689357","MGYS00000974","metagenomic",,"ERR833567",
"MGYA00046571","2.0","ERS689250","MGYS00000974","metagenomic",,"ERR833442",
"MGYA00046661","2.0","ERS689367","MGYS00000974","metagenomic",,"ERR833577",
"MGYA00046794","2.0","ERS689223","MGYS00000974","metagenomic",,"ERR833388",
"MGYA00046731","2.0","ERS689302","MGYS00000974","metagenomic",,"ERR833509",
"MGYA00046687","2.0","ERS689372","MGYS00000974","metagenomic",,"ERR833582",
"MGYA00046697","2.0","ERS689215","MGYS00000974","metagenomic",,"ERR833373",
"MGYA00046627","2.0","ERS689329","MGYS00000974","metagenomic",,"ERR833537",
"MGYA00046735","2.0","ERS689299","MGYS00000974","metagenomic",,"ERR833505",
"MGYA00046526","2.0","ERS689179","MGYS00000974","metagenomic",,"ERR833326",
"MGYA00046716","2.0","ERS689243","MGYS00000974","metagenomic",,"ERR833430",
"MGYA00046555","2.0","ERS689380","MGYS00000974","metagenomic",,"ERR833590",
"MGYA00046777","2.0","ERS689165","MGYS00000974","metagenomic",,"ERR833312",
"MGYA00046791","2.0","ERS689222","MGYS00000974","metagenomic",,"ERR833387",
"MGYA00046725","2.0","ERS689191","MGYS00000974","metagenomic",,"ERR833341",
"MGYA00046637","2.0","ERS689147","MGYS00000974","metagenomic",,"ERR833290",
"MGYA00046700","2.0","ERS689286","MGYS00000974","metagenomic",,"ERR833488",
"MGYA00046588","2.0","ERS689211","MGYS00000974","metagenomic",,"ERR833364",
"MGYA00046828","2.0","ERS689309","MGYS00000974","metagenomic",,"ERR833516",
"MGYA00046833","2.0","ERS689256","MGYS00000974","metagenomic",,"ERR833452",
"MGYA00046644","2.0","ERS689135","MGYS00000974","metagenomic",,"ERR833277",
"MGYA00046623","2.0","ERS689326","MGYS00000974","metagenomic",,"ERR833533",
"MGYA00046710","2.0","ERS689228","MGYS00000974","metagenomic",,"ERR833399",
"MGYA00046642","2.0","ERS689133","MGYS00000974","metagenomic",,"ERR833275",
"MGYA00046693","2.0","ERS689217","MGYS00000974","metagenomic",,"ERR833377",
"MGYA00046572","2.0","ERS689250","MGYS00000974","metagenomic",,"ERR833443",
"MGYA00046711","2.0","ERS689248","MGYS00000974","metagenomic",,"ERR833439",
"MGYA00046766","2.0","ERS689262","MGYS00000974","metagenomic",,"ERR833461",
"MGYA00046582","2.0","ERS689209","MGYS00000974","metagenomic",,"ERR833362",
"MGYA00046552","2.0","ERS689271","MGYS00000974","metagenomic",,"ERR833470",
"MGYA00046712","2.0","ERS689248","MGYS00000974","metagenomic",,"ERR833438",
"MGYA00046630","2.0","ERS689154","MGYS00000974","metagenomic",,"ERR833297",
"MGYA00046808","2.0","ERS689239","MGYS00000974","metagenomic",,"ERR833420",
"MGYA00046786","2.0","ERS689217","MGYS00000974","metagenomic",,"ERR833380",
"MGYA00046625","2.0","ERS689324","MGYS00000974","metagenomic",,"ERR833531",
"MGYA00046612","2.0","ERS689185","MGYS00000974","metagenomic",,"ERR833332",
"MGYA00046643","2.0","ERS689132","MGYS00000974","metagenomic",,"ERR833274",
"MGYA00046645","2.0","ERS689134","MGYS00000974","metagenomic",,"ERR833276",
"MGYA00046530","2.0","ERS689175","MGYS00000974","metagenomic",,"ERR833322",
"MGYA00046570","2.0","ERS689352","MGYS00000974","metagenomic",,"ERR833562",
"MGYA00046660","2.0","ERS689366","MGYS00000974","metagenomic",,"ERR833576",
"MGYA00046632","2.0","ERS689152","MGYS00000974","metagenomic",,"ERR833295",
"MGYA00046528","2.0","ERS689177","MGYS00000974","metagenomic",,"ERR833324",
"MGYA00046764","2.0","ERS689334","MGYS00000974","metagenomic",,"ERR833544",
"MGYA00046622","2.0","ERS689325","MGYS00000974","metagenomic",,"ERR833532",
"MGYA00046734","2.0","ERS689300","MGYS00000974","metagenomic",,"ERR833506",
"MGYA00046631","2.0","ERS689153","MGYS00000974","metagenomic",,"ERR833296",
