"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00046517","2.0","ERS689235","MGYS00000974","metagenomic",,"ERR833411",
"MGYA00046601","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833407",
"MGYA00046551","2.0","ERS689272","MGYS00000974","metagenomic",,"ERR833471",
"MGYA00046767","2.0","ERS689263","MGYS00000974","metagenomic",,"ERR833462",
"MGYA00046827","2.0","ERS689308","MGYS00000974","metagenomic",,"ERR833515",
"MGYA00046814","2.0","ERS689201","MGYS00000974","metagenomic",,"ERR833354",
"MGYA00046749","2.0","ERS689405","MGYS00000974","metagenomic",,"ERR833615",
"MGYA00046609","2.0","ERS689233","MGYS00000974","metagenomic",,"ERR833409",
"MGYA00046556","2.0","ERS689381","MGYS00000974","metagenomic",,"ERR833591",
"MGYA00046707","2.0","ERS689283","MGYS00000974","metagenomic",,"ERR833483",
"MGYA00046683","2.0","ERS689160","MGYS00000974","metagenomic",,"ERR833304",
"MGYA00046795","2.0","ERS689253","MGYS00000974","metagenomic",,"ERR833448",
"MGYA00046627","2.0","ERS689329","MGYS00000974","metagenomic",,"ERR833537",
"MGYA00046555","2.0","ERS689380","MGYS00000974","metagenomic",,"ERR833590",
"MGYA00046637","2.0","ERS689147","MGYS00000974","metagenomic",,"ERR833290",
"MGYA00046588","2.0","ERS689211","MGYS00000974","metagenomic",,"ERR833364",
"MGYA00046623","2.0","ERS689326","MGYS00000974","metagenomic",,"ERR833533",
"MGYA00046766","2.0","ERS689262","MGYS00000974","metagenomic",,"ERR833461",
"MGYA00046552","2.0","ERS689271","MGYS00000974","metagenomic",,"ERR833470",
"MGYA00046630","2.0","ERS689154","MGYS00000974","metagenomic",,"ERR833297",
"MGYA00046625","2.0","ERS689324","MGYS00000974","metagenomic",,"ERR833531",
"MGYA00046612","2.0","ERS689185","MGYS00000974","metagenomic",,"ERR833332",
"MGYA00046530","2.0","ERS689175","MGYS00000974","metagenomic",,"ERR833322",
"MGYA00046570","2.0","ERS689352","MGYS00000974","metagenomic",,"ERR833562",
"MGYA00046764","2.0","ERS689334","MGYS00000974","metagenomic",,"ERR833544",
"MGYA00046622","2.0","ERS689325","MGYS00000974","metagenomic",,"ERR833532",
"MGYA00046734","2.0","ERS689300","MGYS00000974","metagenomic",,"ERR833506",
"MGYA00046819","2.0","ERS689201","MGYS00000974","metagenomic",,"ERR833351",
"MGYA00046816","2.0","ERS689201","MGYS00000974","metagenomic",,"ERR833352",
"MGYA00046750","2.0","ERS689404","MGYS00000974","metagenomic",,"ERR833614",
"MGYA00046756","2.0","ERS689338","MGYS00000974","metagenomic",,"ERR833548",
