Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00011872,2.0,ERS905302,MGYS00000554,metagenomic,,ERR1056313,
MGYA00011877,2.0,ERS905303,MGYS00000554,metagenomic,,ERR1056314,
MGYA00011876,2.0,ERS905303,MGYS00000554,metagenomic,,ERR1056315,
MGYA00011878,2.0,ERS905311,MGYS00000554,metagenomic,,ERR1056331,
MGYA00011884,2.0,ERS905314,MGYS00000554,metagenomic,,ERR1056337,
MGYA00011873,2.0,ERS905302,MGYS00000554,metagenomic,,ERR1056312,
MGYA00011866,2.0,ERS905306,MGYS00000554,metagenomic,,ERR1056320,
MGYA00011880,2.0,ERS905305,MGYS00000554,metagenomic,,ERR1056319,
MGYA00011865,2.0,ERS905307,MGYS00000554,metagenomic,,ERR1056323,
MGYA00011863,2.0,ERS905310,MGYS00000554,metagenomic,,ERR1056329,
MGYA00011874,2.0,ERS905304,MGYS00000554,metagenomic,,ERR1056317,
MGYA00011875,2.0,ERS905304,MGYS00000554,metagenomic,,ERR1056316,
MGYA00011867,2.0,ERS905306,MGYS00000554,metagenomic,,ERR1056321,
MGYA00011879,2.0,ERS905311,MGYS00000554,metagenomic,,ERR1056330,
MGYA00011883,2.0,ERS905313,MGYS00000554,metagenomic,,ERR1056334,
MGYA00011885,2.0,ERS905314,MGYS00000554,metagenomic,,ERR1056336,
MGYA00011864,2.0,ERS905307,MGYS00000554,metagenomic,,ERR1056322,
MGYA00011861,2.0,ERS905305,MGYS00000554,metagenomic,,ERR1056318,
MGYA00011882,2.0,ERS905313,MGYS00000554,metagenomic,,ERR1056335,
MGYA00011886,2.0,ERS905312,MGYS00000554,metagenomic,,ERR1056333,
MGYA00011881,2.0,ERS905312,MGYS00000554,metagenomic,,ERR1056332,
MGYA00011868,2.0,ERS905309,MGYS00000554,metagenomic,,ERR1056326,
MGYA00011862,2.0,ERS905310,MGYS00000554,metagenomic,,ERR1056328,
MGYA00011869,2.0,ERS905309,MGYS00000554,metagenomic,,ERR1056327,
MGYA00011870,2.0,ERS905308,MGYS00000554,metagenomic,,ERR1056324,
MGYA00011871,2.0,ERS905308,MGYS00000554,metagenomic,,ERR1056325,
