Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00046556,2.0,ERS689381,MGYS00000974,metagenomic,,ERR833591,
MGYA00004777,2.0,ERS667493,MGYS00000462,metagenomic,,ERR771045,
MGYA00010576,2.0,ERS612897,MGYS00000447,metagenomic,,ERR688349,
MGYA00046833,2.0,ERS689256,MGYS00000974,metagenomic,,ERR833452,
MGYA00046711,2.0,ERS689248,MGYS00000974,metagenomic,,ERR833439,
MGYA00046712,2.0,ERS689248,MGYS00000974,metagenomic,,ERR833438,
MGYA00046632,2.0,ERS689152,MGYS00000974,metagenomic,,ERR833295,
MGYA00046663,2.0,ERS689365,MGYS00000974,metagenomic,,ERR833575,
MGYA00046566,2.0,ERS689356,MGYS00000974,metagenomic,,ERR833566,
MGYA00009797,2.0,ERS709857,MGYS00000511,metagenomic,,ERR864077,
MGYA00046698,2.0,ERS689379,MGYS00000974,metagenomic,,ERR833589,
MGYA00046593,2.0,ERS689293,MGYS00000974,metagenomic,,ERR833497,
MGYA00004717,2.0,ERS667572,MGYS00000462,metagenomic,,ERR770962,
MGYA00034809,2.0,ERS819289,MGYS00000641,metagenomic,,ERR986600,
MGYA00050337,2.0,ERS1173803,MGYS00000990,metagenomic,,ERR1419291,
MGYA00028454,2.0,ERS1065424,MGYS00000615,metagenomic,,ERR1278162,
MGYA00046783,2.0,ERS689167,MGYS00000974,metagenomic,,ERR833314,
MGYA00005901,2.0,ERS612891,MGYS00000447,metagenomic,,ERR688343,
MGYA00004669,2.0,ERS667640,MGYS00000462,metagenomic,,ERR771017,
MGYA00046662,2.0,ERS689364,MGYS00000974,metagenomic,,ERR833574,
MGYA00004780,2.0,ERS667490,MGYS00000462,metagenomic,,ERR771041,
MGYA00005246,2.0,ERS489236,MGYS00000410,metagenomic,,ERR599054,
MGYA00004768,2.0,ERS667503,MGYS00000462,metagenomic,,ERR771054,
MGYA00046718,2.0,ERS689247,MGYS00000974,metagenomic,,ERR833436,
MGYA00004660,2.0,ERS667649,MGYS00000462,metagenomic,,ERR771027,
MGYA00046748,2.0,ERS689406,MGYS00000974,metagenomic,,ERR833616,
MGYA00004742,2.0,ERS667541,MGYS00000462,metagenomic,,ERR771084,
MGYA00005048,2.0,ERS488346,MGYS00000410,metagenomic,,ERR599073,
MGYA00005101,2.0,ERS492814,MGYS00000410,metagenomic,,ERR599080,
MGYA00005185,2.0,ERS494559,MGYS00000410,metagenomic,,ERR598986,
MGYA00046534,2.0,ERS689321,MGYS00000974,metagenomic,,ERR833528,
MGYA00046759,2.0,ERS689332,MGYS00000974,metagenomic,,ERR833541,
MGYA00011862,2.0,ERS905310,MGYS00000554,metagenomic,,ERR1056328,
MGYA00011869,2.0,ERS905309,MGYS00000554,metagenomic,,ERR1056327,
MGYA00046659,2.0,ERS689144,MGYS00000974,metagenomic,,ERR833287,
MGYA00005143,2.0,ERS488599,MGYS00000410,metagenomic,,ERR599097,
MGYA00046536,2.0,ERS689224,MGYS00000974,metagenomic,,ERR833391,
MGYA00005127,2.0,ERS489134,MGYS00000410,metagenomic,,ERR599013,
