Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00050340,2.0,ERS1173816,MGYS00000990,metagenomic,,ERR1419304,
MGYA00005703,2.0,ERS612894,MGYS00000447,metagenomic,,ERR688346,
MGYA00050331,2.0,ERS1173809,MGYS00000990,metagenomic,,ERR1419297,
MGYA00010576,2.0,ERS612897,MGYS00000447,metagenomic,,ERR688349,
MGYA00005705,2.0,ERS612885,MGYS00000447,metagenomic,,ERR688352,
MGYA00012649,2.0,ERS1014200,MGYS00000590,metagenomic,,ERR1189628,
MGYA00050330,2.0,ERS1173810,MGYS00000990,metagenomic,,ERR1419298,
MGYA00005704,2.0,ERS612895,MGYS00000447,metagenomic,,ERR688347,
MGYA00050336,2.0,ERS1173804,MGYS00000990,metagenomic,,ERR1419292,
MGYA00010575,2.0,ERS612896,MGYS00000447,metagenomic,,ERR688348,
MGYA00028422,2.0,ERS1058986,MGYS00000612,metagenomic,,ERR1260469,
MGYA00028421,2.0,ERS1058990,MGYS00000612,metagenomic,,ERR1260473,
MGYA00028423,2.0,ERS1058989,MGYS00000612,metagenomic,,ERR1260472,
MGYA00050332,2.0,ERS1173808,MGYS00000990,metagenomic,,ERR1419296,
MGYA00010581,2.0,ERS612887,MGYS00000447,metagenomic,,ERR688354,
MGYA00050337,2.0,ERS1173803,MGYS00000990,metagenomic,,ERR1419291,
MGYA00010579,2.0,ERS612900,MGYS00000447,metagenomic,,ERR688341,
MGYA00010578,2.0,ERS612899,MGYS00000447,metagenomic,,ERR688351,
MGYA00005901,2.0,ERS612891,MGYS00000447,metagenomic,,ERR688343,
MGYA00010573,2.0,ERS612893,MGYS00000447,metagenomic,,ERR688345,
MGYA00010574,2.0,ERS612892,MGYS00000447,metagenomic,,ERR688344,
MGYA00050335,2.0,ERS1173805,MGYS00000990,metagenomic,,ERR1419293,
MGYA00028420,2.0,ERS1058987,MGYS00000612,metagenomic,,ERR1260470,
MGYA00050341,2.0,ERS1173812,MGYS00000990,metagenomic,,ERR1419300,
MGYA00010582,2.0,ERS612888,MGYS00000447,metagenomic,,ERR688355,
MGYA00050342,2.0,ERS1173815,MGYS00000990,metagenomic,,ERR1419303,
MGYA00050328,2.0,ERS1173814,MGYS00000990,metagenomic,,ERR1419302,
MGYA00050329,2.0,ERS1173811,MGYS00000990,metagenomic,,ERR1419299,
MGYA00010580,2.0,ERS612886,MGYS00000447,metagenomic,,ERR688353,
MGYA00050338,2.0,ERS1173802,MGYS00000990,metagenomic,,ERR1419290,
MGYA00050339,2.0,ERS1173813,MGYS00000990,metagenomic,,ERR1419301,
MGYA00010519,2.0,ERS612889,MGYS00000447,metagenomic,,ERR1035442,
MGYA00050333,2.0,ERS1173807,MGYS00000990,metagenomic,,ERR1419295,
MGYA00050327,2.0,ERS1173801,MGYS00000990,metagenomic,,ERR1419289,
MGYA00050334,2.0,ERS1173806,MGYS00000990,metagenomic,,ERR1419294,
MGYA00010583,2.0,ERS612890,MGYS00000447,metagenomic,,ERR688342,
MGYA00028419,2.0,ERS1058988,MGYS00000612,metagenomic,,ERR1260471,
MGYA00010577,2.0,ERS612898,MGYS00000447,metagenomic,,ERR688350,
