Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00005264,2.0,ERS490296,MGYS00000410,metagenomic,,ERR599103,
MGYA00005124,2.0,ERS492264,MGYS00000410,metagenomic,,ERR599014,
MGYA00005153,2.0,ERS493670,MGYS00000410,metagenomic,,ERR599099,
MGYA00005083,2.0,ERS492012,MGYS00000410,metagenomic,,ERR599007,
MGYA00005288,2.0,ERS492012,MGYS00000410,metagenomic,,ERR598962,
MGYA00005146,2.0,ERS487936,MGYS00000410,metagenomic,,ERR598950,
MGYA00005131,2.0,ERS492926,MGYS00000410,metagenomic,,ERR599156,
MGYA00005110,2.0,ERS488830,MGYS00000410,metagenomic,,ERR598949,
MGYA00005107,2.0,ERS477998,MGYS00000410,metagenomic,,ERR315860,
MGYA00005144,2.0,ERS488509,MGYS00000410,metagenomic,,ERR599094,
MGYA00005244,2.0,ERS490296,MGYS00000410,metagenomic,,ERR599056,
MGYA00005232,2.0,ERS488685,MGYS00000410,metagenomic,,ERR599111,
MGYA00005257,2.0,ERS491095,MGYS00000410,metagenomic,,ERR599104,
MGYA00046699,2.0,ERS689378,MGYS00000974,metagenomic,,ERR833588,
MGYA00005098,2.0,ERS491874,MGYS00000410,metagenomic,,ERR599081,
MGYA00005169,2.0,ERS488916,MGYS00000410,metagenomic,,ERR599145,
MGYA00005199,2.0,ERS490085,MGYS00000410,metagenomic,,ERR598990,
MGYA00005123,2.0,ERS490296,MGYS00000410,metagenomic,,ERR599017,
MGYA00005044,2.0,ERS491740,MGYS00000410,metagenomic,,ERR599079,
MGYA00005171,2.0,ERS493670,MGYS00000410,metagenomic,,ERR599147,
MGYA00046506,2.0,ERS689345,MGYS00000974,metagenomic,,ERR833555,
MGYA00005218,2.0,ERS491740,MGYS00000410,metagenomic,,ERR599042,
MGYA00005254,2.0,ERS492778,MGYS00000410,metagenomic,,ERR598998,
MGYA00046505,2.0,ERS689344,MGYS00000974,metagenomic,,ERR833554,
MGYA00005160,2.0,ERS490928,MGYS00000410,metagenomic,,ERR599027,
MGYA00005112,2.0,ERS492863,MGYS00000410,metagenomic,,ERR599089,
MGYA00005260,2.0,ERS490163,MGYS00000410,metagenomic,,ERR599107,
MGYA00005045,2.0,ERS493670,MGYS00000410,metagenomic,,ERR599070,
MGYA00005088,2.0,ERS489585,MGYS00000410,metagenomic,,ERR599002,
MGYA00005289,2.0,ERS488346,MGYS00000410,metagenomic,,ERR599092,
MGYA00005143,2.0,ERS488599,MGYS00000410,metagenomic,,ERR599097,
MGYA00005172,2.0,ERS492778,MGYS00000410,metagenomic,,ERR598956,
MGYA00005120,2.0,ERS490085,MGYS00000410,metagenomic,,ERR599018,
MGYA00046568,2.0,ERS689350,MGYS00000974,metagenomic,,ERR833560,
MGYA00005127,2.0,ERS489134,MGYS00000410,metagenomic,,ERR599013,
MGYA00005214,2.0,ERS491095,MGYS00000410,metagenomic,,ERR599121,
MGYA00046755,2.0,ERS689339,MGYS00000974,metagenomic,,ERR833549,
MGYA00005111,2.0,ERS488830,MGYS00000410,metagenomic,,ERR599082,
