Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00046551,2.0,ERS689272,MGYS00000974,metagenomic,,ERR833471,
MGYA00046767,2.0,ERS689263,MGYS00000974,metagenomic,,ERR833462,
MGYA00046791,2.0,ERS689222,MGYS00000974,metagenomic,,ERR833387,
MGYA00046642,2.0,ERS689133,MGYS00000974,metagenomic,,ERR833275,
MGYA00046693,2.0,ERS689217,MGYS00000974,metagenomic,,ERR833377,
MGYA00046786,2.0,ERS689217,MGYS00000974,metagenomic,,ERR833380,
MGYA00046612,2.0,ERS689185,MGYS00000974,metagenomic,,ERR833332,
MGYA00046764,2.0,ERS689334,MGYS00000974,metagenomic,,ERR833544,
MGYA00046622,2.0,ERS689325,MGYS00000974,metagenomic,,ERR833532,
MGYA00046721,2.0,ERS689195,MGYS00000974,metagenomic,,ERR833345,
MGYA00046586,2.0,ERS689213,MGYS00000974,metagenomic,,ERR833366,
MGYA00046525,2.0,ERS689180,MGYS00000974,metagenomic,,ERR833327,
MGYA00046774,2.0,ERS689270,MGYS00000974,metagenomic,,ERR833469,
MGYA00046531,2.0,ERS689174,MGYS00000974,metagenomic,,ERR833321,
MGYA00046618,2.0,ERS689190,MGYS00000974,metagenomic,,ERR833338,
MGYA00046762,2.0,ERS689336,MGYS00000974,metagenomic,,ERR833546,
MGYA00046783,2.0,ERS689167,MGYS00000974,metagenomic,,ERR833314,
MGYA00046562,2.0,ERS689387,MGYS00000974,metagenomic,,ERR833597,
MGYA00046540,2.0,ERS689227,MGYS00000974,metagenomic,,ERR833395,
MGYA00046776,2.0,ERS689172,MGYS00000974,metagenomic,,ERR833319,
MGYA00046829,2.0,ERS689310,MGYS00000974,metagenomic,,ERR833517,
MGYA00046690,2.0,ERS689215,MGYS00000974,metagenomic,,ERR833374,
MGYA00046782,2.0,ERS689170,MGYS00000974,metagenomic,,ERR833317,
MGYA00046508,2.0,ERS689347,MGYS00000974,metagenomic,,ERR833557,
MGYA00046761,2.0,ERS689337,MGYS00000974,metagenomic,,ERR833547,
MGYA00046753,2.0,ERS689255,MGYS00000974,metagenomic,,ERR833451,
MGYA00046834,2.0,ERS689258,MGYS00000974,metagenomic,,ERR833455,
MGYA00046785,2.0,ERS689218,MGYS00000974,metagenomic,,ERR833381,
MGYA00046722,2.0,ERS689194,MGYS00000974,metagenomic,,ERR833344,
MGYA00046621,2.0,ERS689330,MGYS00000974,metagenomic,,ERR833539,
MGYA00046671,2.0,ERS689275,MGYS00000974,metagenomic,,ERR833474,
MGYA00046676,2.0,ERS689163,MGYS00000974,metagenomic,,ERR833309,
MGYA00046505,2.0,ERS689344,MGYS00000974,metagenomic,,ERR833554,
MGYA00046702,2.0,ERS689286,MGYS00000974,metagenomic,,ERR833486,
MGYA00046802,2.0,ERS689371,MGYS00000974,metagenomic,,ERR833581,
MGYA00046545,2.0,ERS689318,MGYS00000974,metagenomic,,ERR833525,
MGYA00046538,2.0,ERS689228,MGYS00000974,metagenomic,,ERR833397,
MGYA00046547,2.0,ERS689320,MGYS00000974,metagenomic,,ERR833527,
