Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00046684,2.0,ERS689162,MGYS00000974,metagenomic,,ERR833307,
MGYA00046646,2.0,ERS689131,MGYS00000974,metagenomic,,ERR833273,
MGYA00046597,2.0,ERS689289,MGYS00000974,metagenomic,,ERR833493,
MGYA00046656,2.0,ERS689141,MGYS00000974,metagenomic,,ERR833284,
MGYA00046661,2.0,ERS689367,MGYS00000974,metagenomic,,ERR833577,
MGYA00046731,2.0,ERS689302,MGYS00000974,metagenomic,,ERR833509,
MGYA00046644,2.0,ERS689135,MGYS00000974,metagenomic,,ERR833277,
MGYA00046642,2.0,ERS689133,MGYS00000974,metagenomic,,ERR833275,
MGYA00046582,2.0,ERS689209,MGYS00000974,metagenomic,,ERR833362,
MGYA00046645,2.0,ERS689134,MGYS00000974,metagenomic,,ERR833276,
MGYA00046739,2.0,ERS689296,MGYS00000974,metagenomic,,ERR833501,
MGYA00046593,2.0,ERS689293,MGYS00000974,metagenomic,,ERR833497,
MGYA00046674,2.0,ERS689368,MGYS00000974,metagenomic,,ERR833578,
MGYA00046583,2.0,ERS689208,MGYS00000974,metagenomic,,ERR833361,
MGYA00046796,2.0,ERS689377,MGYS00000974,metagenomic,,ERR833587,
MGYA00046696,2.0,ERS689215,MGYS00000974,metagenomic,,ERR833372,
MGYA00046590,2.0,ERS689294,MGYS00000974,metagenomic,,ERR833498,
MGYA00046677,2.0,ERS689162,MGYS00000974,metagenomic,,ERR833308,
MGYA00046591,2.0,ERS689291,MGYS00000974,metagenomic,,ERR833495,
MGYA00046641,2.0,ERS689155,MGYS00000974,metagenomic,,ERR833298,
MGYA00046694,2.0,ERS689215,MGYS00000974,metagenomic,,ERR833370,
MGYA00046657,2.0,ERS689142,MGYS00000974,metagenomic,,ERR833285,
MGYA00046648,2.0,ERS689137,MGYS00000974,metagenomic,,ERR833279,
MGYA00046653,2.0,ERS689139,MGYS00000974,metagenomic,,ERR833281,
MGYA00046790,2.0,ERS689219,MGYS00000974,metagenomic,,ERR833384,
MGYA00046829,2.0,ERS689310,MGYS00000974,metagenomic,,ERR833517,
MGYA00046737,2.0,ERS689297,MGYS00000974,metagenomic,,ERR833503,
MGYA00046785,2.0,ERS689218,MGYS00000974,metagenomic,,ERR833381,
MGYA00046686,2.0,ERS689373,MGYS00000974,metagenomic,,ERR833583,
MGYA00046821,2.0,ERS689206,MGYS00000974,metagenomic,,ERR833359,
MGYA00046736,2.0,ERS689298,MGYS00000974,metagenomic,,ERR833504,
MGYA00046621,2.0,ERS689330,MGYS00000974,metagenomic,,ERR833539,
MGYA00046779,2.0,ERS689163,MGYS00000974,metagenomic,,ERR833310,
MGYA00046501,2.0,ERS689398,MGYS00000974,metagenomic,,ERR833608,
MGYA00046824,2.0,ERS689305,MGYS00000974,metagenomic,,ERR833512,
MGYA00046655,2.0,ERS689141,MGYS00000974,metagenomic,,ERR833283,
MGYA00046654,2.0,ERS689140,MGYS00000974,metagenomic,,ERR833282,
MGYA00046803,2.0,ERS689370,MGYS00000974,metagenomic,,ERR833580,
