Column Number	EBI Accession Number	Biome	
1	ERR1527865	soil_0m.9	
2	ERR209137	human_digestive_system.12	Host-associated > Human > Digestive system > Large intestine > Fecal Denmark
3	ERR209510	human_digestive_system.25	
4	ERR1725853	freshwater.35	
5	ERR1527899	soil_0m.41	
6	ERR1527914	soil_0m.25	Sample Cuba_Fir_Cayo_Blanco metagenomics for novel natural products
7	ERR1527915	soil_0m.22	
8	ERR1527916	soil_0m.20	
9	ERR1527921	soil_0m.4	Sample Cuba_Beach_Cayo_Blanco  metagenomics for novel natural products
10	ERR1527910	soil_0m.10	
11	ERR209260	human_digestive_system.33	
12	ERR1527911	soil_0m.13	
13	ERR1527906	soil_0m.47	Sample Algeria_KII metagenomics for novel natural products
14	ERR1527881	soil_0m.40	
15	ERR1527907	soil_0m.44	
16	ERR1527894	soil_0m.11	Sample Sourhope north UK  metagenomics for novel natural products
17	ERR1527893	soil_0m.16	
18	ERR1527888	soil_0m.24	
19	ERR1527895	soil_0m.14	
20	ERR1527892	soil_0m.21	
21	ERR1527918	soil_0m.35	Sample Antarctic_Mars_Oasis metagenomics for novel natural products
22	ERR209495	human_digestive_system.21	
23	ERR209390	human_digestive_system.13	Host-associated > Human > Digestive system > Large intestine > Fecal Denmark
24	ERR209468	human_digestive_system.42	
25	ERR209475	human_digestive_system.36	
26	ERR1527919	soil_0m.31	
27	ERR1527922	soil_0m.8	
28	ERR209473	human_digestive_system.38	
29	ERR1527900	soil_0m.29	
30	ERR1527898	soil_0m.38	Sample Tuscany metagenomics for novel natural products
31	ERR1527903	soil_0m.37	
32	ERR1527925	soil_0m.3	
33	ERR1308128	mammal_digestive_system.21	
34	ERR1527923	soil_0m.6	
35	ERR1308107	mammal_digestive_system.27	Host-associated > Mammals > Digestive system > Large intestine > Fecal  Malawian infant gut microbiota bacterial draft genome assembly Sialylated milk glycans promote growth in gnotobiotic mice and pigs with a stunted Malawian infant gut microbiota
36	ERR675619	mammal_digestive_system.16	
37	ERR770583	wastewater.21	
38	ERR1135298	mammal_digestive_system.9	
39	ERR209517	human_digestive_system.28	Host-associated > Human > Digestive system > Large intestine > Fecal Denmark
40	ERR1135179	mammal_digestive_system.41	
41	ERR1135185	mammal_digestive_system.30	
42	SRR2182537	food_production.21	"Dietary supplements Metagenome	Dietary supplements with live microbials."
43	SRR5249746	food_production.19	
44	ERR675590	mammal_digestive_system.7	
45	ERR675549	mammal_digestive_system.45	
46	ERR675596	mammal_digestive_system.10	
47	ERR1135277	mammal_digestive_system	Sample Stool sample from pig strain : LW Large White The Pig's other genome: a reference gene catalogue of the gut microbiome europe
48	ERR209609	human_digestive_system.6	
49	ERR675543	mammal_digestive_system.31	
50	ERR209842	human_digestive_system.11	
51	ERR1527883	soil_0m.45	
52	ERR1527884	soil_0m.30	
53	ERR1527885	soil_0m.33	Sample Warwcik_Cryfield UK metagenomics for novel natural products
54	ERR1527887	soil_0m.36	
55	ERR1527862	soil_0m.23	
56	ERR1527924	soil_0m.2	
57	ERR1527871	soil_0m.48	Environmental > Terrestrial > Soil Sample Algeria_B3  metagenomics for novel natural products
58	ERR1527872	soil_0m.39	
59	ERR1527856	soil_0m.5	
60	ERR1527868	soil_0m.49	
61	ERR1527869	soil_0m.46	
62	ERR1527870	soil_0m.43	
63	ERR1527873	soil_0m.42	Sample Algeria_KI metagenomics for novel natural products
64	ERR1527854	soil_0m.7	
65	ERR1527861	soil_0m.19	
66	ERR1527860	soil_0m.17	
67	ERR1527867	soil_0m.12	
68	ERR1527859	soil_0m.1	
69	ERR1527858	soil_0m	END large cluster 1
70	SRR2135725	marine.26	Marine water Metagenome Examine viral communities in ballast and harbor waters
71	ERR2059968	mammal_digestive_system.37	fecal phage metagenome Host-associated > Mammals > Digestive system > Fecal Classification and quantification of commensal lysogens and induced prophages in the gut bacterial and phage metagenomes
72	SRR2135775	marine.27	
73	SRR2135714	marine.5	Marine water Metagenome Examine viral communities in ballast and harbor waters
74	ERR1527877	soil_0m.27	
75	ERR1527876	soil_0m.34	
76	ERR1662201	marine.21	
77	ERR1558701	soil_1.100m.24	
78	ERR1743302	freshwater.41	
79	ERR906551	mammal_digestive_system.13	Metagenomic sequence data obtained from Rhesus macauques during vaccination for SIV challenge. USA North east
80	ERR209750	human_digestive_system.41	
81	ERR675578	mammal_digestive_system.2	
82	ERR675510	mammal_digestive_system.26	
83	ERR209862	human_digestive_system.44	
84	ERR209608	human_digestive_system.7	Stool sample from spanish human
85	ERR1297842	human_digestive_system.17	
86	ERR1297706	human_digestive_system.1	
87	ERR1135348	mammal_digestive_system.1	Sample Stool sample from pig strain : HybDN 
88	ERR1135314	mammal_digestive_system.24	
